term_str,PC0,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9
ground,-0.044204652506059865,-0.023577330313741016,0.03847330728308364,-0.011782076109937076,-0.01595540634767534,-0.022103006169411188,-0.014513322393706004,-0.00669777746012608,0.04068849790210488,-0.008651734937224598
purpose,-0.04215964640849497,-0.031167601592637154,-0.006106882935546731,-0.001676324166609667,0.015604974279904649,-0.008594362848532204,-0.03269473299140396,-0.005886423618222069,-0.015076003666859183,-0.019885092144209436
yes,-0.04117681611430708,0.019080987647000724,0.05245949546474592,-0.06263576272503463,-0.009291651161213055,0.00175632302829401,0.030938123591959577,-0.033512225496565615,0.00011070475517994949,0.005202386620500647
city,-0.06091742767157613,0.018885809602999046,0.009247014721183182,-0.02292227523392085,0.09814257059285426,-0.0685414258414716,-0.01210613966409868,-0.05813341854777927,0.026279784380346893,-0.017132831971408136
effect,-0.0409252847195355,0.002749720279803607,-0.015884005749672556,-0.03243050829190339,0.033786688853951995,0.007820615494255556,0.01870911514047857,-0.011733446168679253,-0.020413279755309544,0.010650684055868886
turn,-0.029058728890303864,0.006409863139271544,0.011104175099379455,-0.00717597568844902,-0.005511659924439872,-0.00607280002845878,-0.0028344876315781198,-0.013215406687712481,0.014304531716789304,-0.004892293099110781
side,-0.04853476433925169,-0.004021946757251164,0.02057136239000081,0.015542411031200735,0.018571656295625905,-0.051060929106278796,0.010941315389608769,0.03220473375902765,0.014296998496015803,-0.009890255730225603
number,-0.045096257652286795,4.239517927224685e-05,-0.025399370015343446,-0.019120532374347403,0.003934345393042395,-0.0029524716532703943,-0.06761569291846942,0.017854011516380434,0.034055559575003974,-0.016873257765467387
change,-0.03938770461659651,-0.00320128039017535,0.011209943641499567,-0.02906664810496739,0.0071685912850629595,0.006681859578010818,0.010001091649048915,-0.010574280308884024,-0.03015070725225749,0.014664136839707707
nature,-0.052329783943685065,-0.00408461592769362,-0.026693814599336677,-0.023736374910368674,0.025202617750900474,0.037871620338603154,-0.023379002954724268,0.0029640522314081166,-0.028786373639283325,-0.02176389202604115
age,-0.04522868537746041,0.029062452761612255,-0.038091343214871363,-0.04217655492382154,0.0036744344819432126,0.0008531457805206893,-0.012128456718304363,-0.037641701612608325,-0.02439408940457663,0.014600043163582543
doubt,-0.03680297756340284,0.012620612315495418,-0.007022217118970392,-0.023182312883161273,0.014081621668475658,-0.021181689954926745,-0.0048874006861539185,-0.006576354155981595,-0.019541026618175195,0.0033078811956864795
question,-0.036723797614208555,0.017611804516744312,-0.02072941593383244,-0.030530356048587358,-0.00729273401475479,-0.0016127114081767868,0.011608251389452977,-0.009829352553126225,0.012219427189398765,0.0035258884638834642
home,-0.050989263071754144,0.004092232083035278,-0.004116951032182258,-0.0153734258772287,0.04579748134394649,0.017053584510197,0.013114676121467439,-0.0025791607090308033,0.011442743143346812,-0.01249265312943415
labor,-0.10533513955145926,0.14751753675718096,-0.11442708631923464,0.13803931766642033,-0.17002774427005413,0.053184757469451206,-0.027096708627078938,-0.06529428799168302,0.022061424373828492,-0.043640064328127406
children,-0.06812338209641494,0.002879150551547166,0.010940028960353843,0.017292437161453008,-0.013692289948091109,0.007825928853813287,0.03984433150739597,0.007603251481685003,0.04789804986465647,0.0014551205886918217
women,-0.06452676438227486,0.03611233629632512,-0.03494210027939031,-0.016593980855335467,0.05276218125642137,0.02220214673135775,0.054173396411421895,-0.04389984871627306,-0.028734557247550002,0.05160436498165927
sleep,-0.05090428417069275,-0.003293059458720127,0.014973152304148475,-0.039621945225810036,0.07437327418658266,-0.044171320017006396,0.029391099613368006,-0.031309956982954135,0.010077596159459627,-0.03226648572684204
class,-0.10094957269546988,0.10615167603238637,-0.04959219271541247,0.09843891230598104,-0.06672115283528479,0.21885883385703728,0.010842823703614366,0.08502475380645395,-0.002585699847651765,-0.035948366738246224
body,-0.031823466150730395,0.0038285135616809548,0.025761359279366076,-0.0003677718381151224,0.0057066821631428085,-0.03403599260111832,8.513705955000663e-05,0.03587377470433317,-0.005510628182216452,0.004086668712862382
death,-0.04952014515998943,0.029519876077964323,0.02883580560214054,0.09228544983638373,0.042010557092209355,-0.021201273248739196,-0.0017248015454871322,-0.0709881747053049,-0.034743788130279604,0.02634911437872481
